"Testimonials","Testimonials"
"This testimonial no longer exists","This testimonial no longer exists"
"Back","Back"
"Delete","Delete"
"Reset","Reset"
"Save Testimonial","Save Testimonial"
"You saved the testimonial","You saved the testimonial"
"Something went wrong while saving the testimonial","Something went wrong while saving the testimonial"
"A total of %1 record(s) have been deleted","A total of %1 record(s) have been deleted"
"Testimonial ID","Testimonial ID"
"Please correct the data sent","Please correct the data sent"
"Edit Testimonial","Edit Testimonial"
"New Testimonial","New Testimonial"
"You deleted the testimonial","You deleted the testimonial"
"We can't find a testimonial to delete","We can't find a testimonial to delete"
"Descending","Descending"
"Ascending","Ascending"
"Template filter ... does not implement required interface","Template filter ... does not implement required interface"
"Make sure that testimonial content does not reference the testimonial itself","Make sure that testimonial content does not reference the testimonial itself"
"Disabled","Disabled"
"Enabled","Enabled"
"Testimonial with id "%1" does not exist","Testimonial with id "%1" does not exist"
"Edit","Edit"
"Delete","Delete"
"Are you sure you wan't to delete a record?","Are you sure you wan't to delete a record?"
"Are you sure you want to do this","Are you sure you want to do this"
"Template Testimonials Default","Template Testimonials Default"
"Sort Order by Creation Time","Sort Order by Creation Time"
"Contents of a Testimonial","Contents of a Testimonial"
"Customer Testimonials","Customer Testimonials"
"Enable Testimonial","Enable Testimonial"
"Customer Name","Customer Name"
"Text","Text"
"Add New Testimonial","Add New Testimonial"
"ID","ID"
"Title","Title"
"Status","Status"
"Created","Created"
"Delete","Delete"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Name","Name"
"Uploader not found for type:","Uploader not found for type:"
"Uploader for type ... not instance of ","Uploader for type ... not instance of "
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."